account_code,account_name,account_type,debit,credit,period,entity
1001,Cash and Bank,Asset,45200.00,0,2025-12,EntityA
1100,Accounts Receivable,Asset,128400.00,0,2025-12,EntityA
1200,Inventory,Asset,67800.00,0,2025-12,EntityA
1500,Fixed Assets,Asset,320000.00,0,2025-12,EntityA
2001,Accounts Payable,Liability,0,89500.00,2025-12,EntityA
2100,Accrued Expenses,Liability,0,14200.00,2025-12,EntityA
3001,Share Capital,Equity,0,250000.00,2025-12,EntityA
4001,Revenue - Sales,Income,0,410000.00,2025-12,EntityA
4002,Revenue - Services,Income,0,52000.00,2025-12,EntityA
5001,Cost of Goods Sold,Expense,220000.00,0,2025-12,EntityA
6001,Salaries,Expense,68000.00,0,2025-12,EntityA
6002,Rent,Expense,24000.00,0,2025-12,EntityA
6003,Utilities,Expense,8400.00,0,2025-12,EntityA
6004,Marketing,Expense,15000.00,0,2025-12,EntityA
7001,Interest Expense,Expense,3200.00,0,2025-12,EntityA
1001,Cash and Bank,Asset,38900.00,0,2025-11,EntityA
4001,Revenue - Sales,Income,0,385000.00,2025-11,EntityA
5001,Cost of Goods Sold,Expense,198000.00,0,2025-11,EntityA
6001,Salaries,Expense,68000.00,0,2025-11,EntityA
1001,Cash and Bank,Asset,41200.00,0,2025-12,EntityB
4001,Revenue - Sales,Income,0,195000.00,2025-12,EntityB
5001,Cost of Goods Sold,Expense,102000.00,0,2025-12,EntityB
2001,Accounts Payable,Liability,0,44000.00,2025-12,EntityB
